User|||CompanyName|||ContactName|||Date|||Time|||Duration|||Content
Bob Smith|||Company E|||Contact 3|||2023-08-15|||09:38:48|||52|||Meeting
Isabella Rossi|||Company D|||Contact 3|||2023-11-21|||08:41:50|||113|||Email Exchange
Fahad Al-Harbi|||Company D|||Contact 1|||2023-12-09|||09:48:40|||85|||Email Exchange
Diana Wei1|||Company A|||Contact 3|||2023-05-10|||12:07:40|||6|||Project Discussion
Hiroshi Nakamura|||Company E|||Contact 1|||2023-06-17|||14:35:48|||59|||Project Discussion
Elena Petrova|||Company A|||Contact 1|||2023-01-21|||15:36:34|||23|||Meeting
Bob Smith|||Company E|||Contact 1|||2023-04-03|||14:31:57|||115|||Project Discussion
Hiroshi Nakamura|||Company E|||Contact 5|||2023-10-27|||18:51:03|||8|||Meeting
Alice Johnson|||Company C|||Contact 3|||2023-05-10|||18:52:38|||74|||Project Discussion
James O'Neil|||Company C|||Contact 3|||2023-11-26|||14:30:09|||14|||Contract Review
Elena Petrova|||Company E|||Contact 3|||2023-05-16|||10:53:38|||36|||Contract Review
Carlos Ruiz|||Company B|||Contact 3|||2023-12-24|||18:43:54|||90|||Project Discussion
Isabella Rossi|||Company B|||Contact 5|||2023-05-04|||08:01:31|||16|||Call
Hiroshi Nakamura|||Company D|||Contact 3|||2023-11-03|||09:20:41|||20|||Email Exchange
Fahad Al-Harbi|||Company E|||Contact 4|||2023-06-03|||10:48:54|||62|||Contract Review
Elena Petrova1|||Company B|||Contact 3|||2023-12-15|||08:02:39|||53|||Contract Review
Gina Rinehart|||Company E|||Contact 1|||2023-07-08|||17:43:41|||2|||Email Exchange
Alice Johnson1|||Company A|||Contact 1|||2023-11-28|||15:23:52|||107|||Email Exchange
Diana Wei|||Company B|||Contact 5|||2023-02-19|||12:53:43|||31|||Email Exchange
Isabella Rossi|||Company C|||Contact 2|||2023-11-28|||09:37:33|||96|||Contract Review
Carlos Ruiz1|||Company B|||Contact 2|||2023-05-27|||15:17:50|||78|||Call
